COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,6/2/2023,16016290,7492606,137.208,64.187,6295624,53.933,,1/30/2021,7,2487668,21.311
Bonaire,XAA,AMRO,REPORTING,6/2/2023,43070,17460,205.929,83.481,16189,77.404,,,,8125,38.848
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,9/1/2021,35845,19109,137.934,73.533,16736,64.401,,,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,1/29/2022,1924950,943394,,28.842,846080,25.867,,,4,,
Botswana,BWA,AFRO,REPORTING,5/7/2023,3171667,1951054,134.871,82.966,1663490,70.738,,3/26/2021,6,507654,21.587
Brazil,BRA,AMRO,REPORTING,6/2/2023,513329718,188746389,241.499,88.797,171459392,80.664,,1/17/2021,5,110382337,51.93
British Virgin Islands,VGB,AMRO,REPORTING,6/2/2023,41453,19466,137.094,64.378,18261,60.393,,2/11/2021,3,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,6/30/2023,1293100,451149,295.58,103.125,446714,102.111,,4/3/2021,5,340466,77.825
Bulgaria,BGR,EURO,REPORTING,6/11/2023,4618004,2108377,66.4,30.829,2080169,30.417,,12/30/2020,4,832572,12.174
Burkina Faso,BFA,AFRO,REPORTING,7/23/2023,7893609,6089089,37.763,29.13,5232347,25.031,,6/2/2021,3,4056,0.019
Burundi,BDI,AFRO,REPORTING,8/20/2023,41316,36909,0.347,0.31,36321,0.305,,10/18/2021,1,314,0.003
Côte d’Ivoire,CIV,AFRO,REPORTING,2/19/2023,25263932,13568372,95.776,51.438,12164304,46.115,,3/1/2021,5,3138712,11.899
Cabo Verde,CPV,AFRO,REPORTING,9/25/2022,859940,356734,154.669,64.162,308720,55.526,,3/18/2021,4,749,0.135
Cambodia,KHM,WPRO,REPORTING,9/7/2023,47601597,15307310,284.716,91.557,14683075,87.823,,2/10/2021,7,10746738,64.279
Cameroon,CMR,AFRO,REPORTING,8/6/2023,4797450,3701750,18.072,13.945,3148312,11.86,,4/12/2021,4,777629,2.929
Canada,CAN,AMRO,REPORTING,6/2/2023,97596974,32645232,258.589,86.495,31311576,82.962,,12/14/2020,6,19776324,52.399
Cayman Islands,CYM,AMRO,REPORTING,6/2/2023,151822,62085,231.013,94.469,60664,92.307,,1/15/2021,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,7/16/2023,3182417,2600389,65.892,53.841,2484985,51.451,,3/19/2021,2,366221,7.583
Chad,TCD,AFRO,REPORTING,8/13/2023,8562003,4933174,52.125,30.033,4805867,29.258,,6/4/2021,1,4042573,24.611
Chile,CHL,AMRO,REPORTING,6/2/2023,66273384,18106832,346.687,94.72,17716364,92.677,,12/21/2020,5,15766986,82.48
China,CHN,WPRO,REPORTING,4/20/2023,3516880717,1318026807,239.034,89.583,1284479582,87.303,,7/22/2020,8,834060133,56.689
Colombia,COL,AMRO,REPORTING,6/2/2023,90506612,43012174,177.872,84.532,37019801,72.755,,2/17/2021,5,14792792,29.072
Comoros,COM,AFRO,REPORTING,10/2/2022,835021,438825,96.023,50.463,397080,45.662,,4/10/2021,3,,
Congo,COG,AFRO,REPORTING,7/31/2022,833210,695760,15.1,12.609,654119,11.854,,3/23/2021,4,,
Cook Islands,COK,WPRO,REPORTING,1/31/2023,40080,15112,228.194,86.04,14728,83.853,,5/17/2021,1,10240,58.301
Costa Rica,CRI,AMRO,REPORTING,6/2/2023,13371989,4641899,262.499,91.123,4358863,85.567,,12/24/2020,3,2957974,58.066
Croatia,HRV,EURO,REPORTING,6/11/2023,5432701,2320124,133.9,60.107,2246534,58.166,,12/23/2020,6,994415,25.747
Cuba,CUB,AMRO,REPORTING,6/2/2023,38105906,10749013,336.428,94.9,10016328,88.432,,,3,8742146,77.182
Curaçao,CUW,AMRO,REPORTING,6/2/2023,260324,108601,158.644,66.183,100885,61.48,,2/24/2021,3,43138,26.289
Cyprus,CYP,EURO,REPORTING,6/11/2023,1858908,669218,209.3,73.978,656129,72.524,,12/23/2020,5,487380,53.872
Czechia,CZE,EURO,REPORTING,6/11/2023,18614714,6972162,174.1,66.296,6887894,65.495,,12/23/2020,9,4365749,41.513
Democratic Republic of the Congo,COD,AFRO,REPORTING,6/4/2023,18808671,17045721,21.001,19.032,14399520,16.078,,4/19/2021,1,,
Denmark,DNK,EURO,REPORTING,6/11/2023,14986863,4767119,257.4,81.164,4731911,80.565,,12/16/2020,5,3634971,61.888
Djibouti,DJI,EMRO,REPORTING,4/18/2023,392703,372077,39.747,37.66,351712,35.598,,3/15/2021,11,,
Dominica,DMA,AMRO,REPORTING,6/2/2023,67647,32995,93.966,45.832,30659,42.587,,2/12/2021,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,6/2/2023,15972891,7322815,147.244,67.504,6095810,56.193,,2/16/2021,5,2554266,23.546
